data_id,treat,age,education,black,hispanic,married,nodegree,re74,re75,re78
Dehejia-Wahba Sample,0.0,23.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Dehejia-Wahba Sample,0.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12383.6796875
Dehejia-Wahba Sample,0.0,22.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Dehejia-Wahba Sample,0.0,18.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,10740.080078125
Dehejia-Wahba Sample,0.0,45.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,11796.4697265625
Dehejia-Wahba Sample,0.0,18.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,9227.0517578125
Dehejia-Wahba Sample,0.0,24.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,10569.26953125
Dehejia-Wahba Sample,0.0,34.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,6040.3349609375
Dehejia-Wahba Sample,0.0,24.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,3880.8330078125
Dehejia-Wahba Sample,0.0,36.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Dehejia-Wahba Sample,0.0,21.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,5775.06201171875
Dehejia-Wahba Sample,0.0,28.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Dehejia-Wahba Sample,0.0,27.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Dehejia-Wahba Sample,0.0,19.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dehejia-Wahba Sample,0.0,20.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Dehejia-Wahba Sample,0.0,34.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,2113.721923828125
Dehejia-Wahba Sample,0.0,24.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,7618.63916015625
Dehejia-Wahba Sample,0.0,22.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,9920.9453125
Dehejia-Wahba Sample,0.0,25.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,4196.375
Dehejia-Wahba Sample,0.0,39.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Dehejia-Wahba Sample,0.0,19.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,16658.25
