data_id,treat,age,education,black,hispanic,married,nodegree,re74,re75,re78
Dehejia-Wahba Sample,1,37,11,1,0,1,1,0,0,9930.045898
Dehejia-Wahba Sample,1,22,9,0,1,0,1,0,0,3595.894043
Dehejia-Wahba Sample,1,30,12,1,0,0,0,0,0,24909.44922
Dehejia-Wahba Sample,1,27,11,1,0,0,1,0,0,7506.145996
Dehejia-Wahba Sample,1,33,8,1,0,0,1,0,0,289.7898865
Dehejia-Wahba Sample,1,22,9,1,0,0,1,0,0,4056.493896
Dehejia-Wahba Sample,1,23,12,1,0,0,0,0,0,0
Dehejia-Wahba Sample,1,32,11,1,0,0,1,0,0,8472.158203
Dehejia-Wahba Sample,1,22,16,1,0,0,0,0,0,2164.021973
Dehejia-Wahba Sample,1,33,12,0,0,1,0,0,0,12418.07031
Dehejia-Wahba Sample,1,19,9,1,0,0,1,0,0,8173.908203
Dehejia-Wahba Sample,1,21,13,1,0,0,0,0,0,17094.64063
Dehejia-Wahba Sample,1,18,8,1,0,0,1,0,0,0
Dehejia-Wahba Sample,1,27,10,1,0,1,1,0,0,18739.92969
Dehejia-Wahba Sample,1,17,7,1,0,0,1,0,0,3023.878906
Dehejia-Wahba Sample,1,19,10,1,0,0,1,0,0,3228.50293
Dehejia-Wahba Sample,1,27,13,1,0,0,0,0,0,14581.86035
Dehejia-Wahba Sample,1,23,10,1,0,0,1,0,0,7693.399902
Dehejia-Wahba Sample,1,40,12,1,0,0,0,0,0,10804.32031
Dehejia-Wahba Sample,1,26,12,1,0,0,0,0,0,10747.34961
Dehejia-Wahba Sample,1,23,11,1,0,0,1,0,0,0
Dehejia-Wahba Sample,1,41,14,0,0,0,0,0,0,5149.500977
Dehejia-Wahba Sample,1,38,9,0,0,0,1,0,0,6408.950195
Dehejia-Wahba Sample,1,24,11,1,0,0,1,0,0,1991.400024
Dehejia-Wahba Sample,1,18,10,1,0,0,1,0,0,11163.16992
Dehejia-Wahba Sample,1,29,11,1,0,1,1,0,0,9642.999023
Dehejia-Wahba Sample,1,25,11,1,0,0,1,0,0,9897.048828
Dehejia-Wahba Sample,1,27,10,0,1,0,1,0,0,11142.87012
Dehejia-Wahba Sample,1,17,10,1,0,0,1,0,0,16218.04004
Dehejia-Wahba Sample,1,24,11,1,0,0,1,0,0,995.7001953
Dehejia-Wahba Sample,1,17,10,1,0,0,1,0,0,0
Dehejia-Wahba Sample,1,48,4,1,0,0,1,0,0,6551.591797
Dehejia-Wahba Sample,1,25,11,1,0,1,1,0,0,1574.42395
Dehejia-Wahba Sample,1,20,12,1,0,0,0,0,0,0
Dehejia-Wahba Sample,1,25,12,1,0,0,0,0,0,3191.75293
Dehejia-Wahba Sample,1,42,14,1,0,0,0,0,0,20505.92969
Dehejia-Wahba Sample,1,25,5,1,0,0,1,0,0,6181.879883
Dehejia-Wahba Sample,1,23,12,1,0,1,0,0,0,5911.550781
Dehejia-Wahba Sample,1,46,8,1,0,1,1,0,0,3094.156006
Dehejia-Wahba Sample,1,24,10,1,0,0,1,0,0,0
Dehejia-Wahba Sample,1,21,12,1,0,0,0,0,0,1254.582031
Dehejia-Wahba Sample,1,19,9,0,0,0,1,0,0,13188.83008
Dehejia-Wahba Sample,1,17,8,1,0,0,1,0,0,8061.484863
Dehejia-Wahba Sample,1,18,8,0,1,1,1,0,0,2787.959961
Dehejia-Wahba Sample,1,20,11,1,0,0,1,0,0,3972.540039
Dehejia-Wahba Sample,1,25,11,1,0,1,1,0,0,0
Dehejia-Wahba Sample,1,17,8,1,0,0,1,0,0,0
Dehejia-Wahba Sample,1,17,9,1,0,0,1,0,0,0
Dehejia-Wahba Sample,1,25,5,1,0,0,1,0,0,12187.41016
Dehejia-Wahba Sample,1,23,12,1,0,0,0,0,0,4843.175781
Dehejia-Wahba Sample,1,28,8,1,0,0,1,0,0,0
Dehejia-Wahba Sample,1,31,11,1,0,1,1,0,0,8087.486816
Dehejia-Wahba Sample,1,18,11,1,0,0,1,0,0,0
